"paper_id","conceito_extraido","termo_original","definicao_ou_achado","eixo_conceitual","tipo_ontologico","sugestao_owl","relacoes","instrumento_ou_metrica","prejuizo_ou_efeito","tipo_de_evidencia","suporte_no_artigo","observacoes"
"P003","Uso problematico de smartphone","problematic smartphone use","O artigo trata PSU como constructo ainda nao padronizado; o uso se torna problematico quando envolve dificuldade de regulacao e consequencias negativas, mas nao ha consenso se o criterio principal deve ser quantidade, padrao de uso ou dano/mal-estar.","uso problematico de smartphone","classe_conceitual","CANDIDATE_CONCEPT: ProblematicSmartphoneUse as umbrella construct for problematic smartphone-use patterns with functional harm criterion; avoid necessary consequence axiom","relatedTo SelfRegulationFailure; hasCandidateCriterion FunctionalHarm; notEquivalentTo SmartphoneUseFrequency","NA - nao aplicavel","prejuizos sociais, interpessoais, saude mental, cognicao e desempenho academico","revisao sistematica de instrumentos","Abstract; Introduction/Associated Dysfunction; Discussion/Psychometric Characteristics","Usar como termo guarda-chuva inicial; evitar assumir diagnostico formal. Revisao semantica 2026-05-24: relacao com prejuizo mantida como criterio candidato, nao consequencia necessaria."
"P003","Frequencia de uso de smartphone","smartphone use frequency","Alta frequencia de uso nao indica necessariamente PSU, porque a frequencia pode refletir finalidades heterogeneas como trabalho, estudo, comunicacao, lazer ou uso disfuncional.","uso problematico de smartphone","variavel_observavel","CANDIDATE_MEASURE: SmartphoneUseFrequency candidateBroaderType DigitalBehaviorMeasure","measures SmartphoneUse; notSufficientFor ProblematicSmartphoneUse","SUF; MUS; MTUAS","NA - nao aplicavel","revisao sistematica de instrumentos","Results/Description of Measurement Scales; Table 2","Separar quantidade de uso, padrao de uso e dano na ontologia."
"P003","Prejuizo funcional associado ao uso","associated life dysfunction","O artigo organiza a relevancia clinica e psicologica do PSU em torno de consequencias negativas em areas sociais, interpessoais, saude mental, cognicao e desempenho academico.","prejuizo e bem-estar digital","dimensao_de_prejuizo","CANDIDATE_HARM_DIMENSION: FunctionalHarm as consequence/impact dimension associated with ProblematicSmartphoneUse","associatedWith ProblematicSmartphoneUse; includes SocialHarm; includes MentalHealthHarm; includes CognitiveHarm; includes AcademicHarm","NA - nao aplicavel","social; interpessoal; ansiedade/depressao; atencao; controle inibitorio; desempenho academico","revisao sistematica com sintese conceitual","Introduction/Associated Dysfunction","Este e um eixo forte para conectar Psicologia com avaliacao de dano na ontologia. Revisao semantica 2026-05-24: associado a PSU sem afirmar causalidade ou consequencia necessaria."
"P003","Falha de autorregulacao/controle","lack of control","Diversas escalas incluem dominios como falta de controle, uso mais longo que o pretendido, compulsividade, craving, abstinencia ou dependencia; o artigo alerta que esses dominios nem sempre sustentam um diagnostico de adicao.","autorregulacao; compulsao","dimensao_psicologica","CANDIDATE_PSYCHOLOGICAL_DIMENSION: SelfRegulationFailure candidateBroaderType PsychologicalProcess; ProblematicSmartphoneUse candidateFeature SelfRegulationFailure","relatedTo LossOfControl; relatedTo CompulsiveUse; relatedTo Craving","MPPUS; COS; PUMP; SAS; PMPUQ-R","NA - nao aplicavel","revisao sistematica de instrumentos","Table 1; DSM-5 Criteria and Considerations; Psychometric Characteristics","Extrair depois subdimensoes com mais precisao nos artigos de escala P001/P002."
"P003","Escalas de PSU","problematic smartphone use measurement scales","A revisao identificou 78 escalas relevantes: 70 focadas em uso problematico, 3 em frequencia de uso e 6 em motivacoes/atitudes, com sobreposicao em um instrumento.","instrumentos e metricas","classe_de_instrumento","INSTRUMENT_FAMILY: ProblematicSmartphoneUseScale candidateBroaderType PsychometricInstrument","measures ProblematicSmartphoneUse; hasDomain ContentDomain; hasReliability CronbachAlpha; hasValidity CriterionRelatedValidity","78 escalas; SAS; PMPUQ; MPPUS; PUMP; SABAS; MTUAS","NA - nao aplicavel","revisao sistematica de instrumentos","Methods/Data Extraction; Results/Identification of Measurement Scales","Base principal para mapear instrumentos, dominios e constructos medidos."
"P003","Lacuna psicometrica e conceitual","lack of sufficient research","Muitas escalas dependem de autorrelato, criterios emprestados de adicao/Internet addiction e validacao contra outros instrumentos sem padrao-ouro; ha insuficiencia de estabilidade temporal e fundamentacao teorica em parte relevante do campo.","metodologia; instrumentos e metricas","lacuna_de_evidencia","EVIDENCE_LIMITATION: EvidenceGap candidateBroaderType ResearchLimitation","affects ProblematicSmartphoneUseScale; concerns CriterionValidity; concerns TemporalStability","autorrelato; consistencia interna; teste-reteste; validade de criterio","NA - nao aplicavel","avaliacao critica em revisao sistematica","Abstract; Psychometric Characteristics; Discussion","Marcar evidencias de escala com cautela; nao tratar pontuacao como diagnostico sem contexto."
"P003","Cautela com adicao de smartphone","smartphone addiction","O artigo registra semelhancas com criterios de adicao, mas enfatiza que a classificacao como adicao comportamental permanece controversa e que 'problematic use' e conceitualmente mais prudente que 'addiction'.","compulsao; uso problematico de smartphone","relacao_conceitual","CANDIDATE_CONCEPTUAL_RELATION: SmartphoneAddiction candidateBroaderType ContestedConstruct","overlapsWith ProblematicSmartphoneUse; notEquivalentTo ProblematicSmartphoneUse; borrowsCriteriaFrom BehavioralAddiction","NA - nao aplicavel","uso apesar de consequencias; dependencia subjetiva; situacoes de risco","revisao sistematica com discussao teorica","Is Smartphone Addiction a Real Concept?; DSM-5 Criteria and Considerations; Discussion","Na ontologia, modelar addiction como termo encontrado na literatura, nao como decisao diagnostica do TCC."
"P003","Contexto, funcao e motivacao de uso","contexts, functions, and motivations for use","A conclusao recomenda compreender o uso de smartphone considerando contexto, funcao e motivacao, em vez de apenas importar criterios de adicoes estabelecidas.","bem-estar digital; mecanismos digitais","principio_de_modelagem","MODELING_NOTE: SmartphoneUseContext and SmartphoneUseMotivation candidateBroaderType DigitalBehaviorContext","moderates ProblematicSmartphoneUse; distinguishes FunctionalUse from DysfunctionalUse","PSSU; MPAS; MTUAS","NA - nao aplicavel","sintese conceitual de revisao sistematica","Conclusion; Table 3","Bom ponto de ponte com retencao algoritmica, notificacoes e design persuasivo em etapa posterior."
"P004","Uso problematico de telefone movel","problematic mobile phone use","PMPU e tratado como condicao heterogenea e multifacetada que pode incluir padroes aditivos, mas tambem usos arriscados, proibidos, interpessoais ou antissociais.","uso problematico de smartphone","classe_conceitual","CANDIDATE_CONCEPT: ProblematicMobilePhoneUse candidateBroaderType ProblematicDigitalUse","broaderThan SmartphoneAddiction; hasManifestation RiskyUse; hasManifestation AddictiveLikeUse; hasManifestation ProhibitedUse","NA - nao aplicavel","relacionamentos; intrusao no trabalho; sono; uso perigoso; uso proibido","artigo teorico de revisao","Abstract; Toward a Pathway Model; Conclusion","Usar como ponte historica entre mobile phone e smartphone; nao reduzir PMPU a adicao."
"P004","Evidencia insuficiente para behavioral addiction","behavioral addiction model","Os autores afirmam que a evidencia para considerar PMPU uma adicao comportamental genuina ainda e escassa, especialmente por falta de dados longitudinais, experimentais, comportamentais e neurobiologicos.","compulsao; uso problematico de smartphone","cautela_conceitual","EVIDENCE_ASSESSMENT: BehavioralAddictionModelApplicability candidateBroaderType EvidenceAssessment","evaluates SmartphoneAddiction; requires LongitudinalEvidence; requires NeurobiologicalEvidence","NA - nao aplicavel","NA - nao aplicavel","artigo teorico de revisao","Problematic Mobile Phone Use as a Behavioral Addiction; Conclusion","Marcar como controversia central na sintese."
